Leader,Follower,ShiftDays,Correlation,Direction
AAPL,MSFT,5,0.28189937410683674,AAPL→MSFT
AAPL,GOOGL,5,0.713532607723417,AAPL→GOOGL
GOOGL,AAPL,5,0.6079910424980542,GOOGL→AAPL
AAPL,AMZN,5,0.5379122530419657,AAPL→AMZN
AMZN,AAPL,5,0.42048448837907754,AMZN→AAPL
AAPL,NVDA,5,0.47115752906014485,AAPL→NVDA
NVDA,AAPL,5,0.28989559625486905,NVDA→AAPL
AAPL,META,5,0.32185248326544064,AAPL→META
META,AAPL,5,0.15227106964359985,META→AAPL
AAPL,TSLA,5,0.7087469515549515,AAPL→TSLA
TSLA,AAPL,5,0.6374775585539825,TSLA→AAPL
AAPL,JPM,5,0.3113809485268324,AAPL→JPM
JPM,AAPL,5,0.12825844753429688,JPM→AAPL
AAPL,UNH,5,0.1822521257335852,AAPL→UNH
UNH,AAPL,5,0.2954015493430422,UNH→AAPL
AAPL,V,5,-0.3140630345411296,AAPL→V
V,AAPL,5,-0.33376428877572656,V→AAPL
AAPL,HD,5,0.7562524935567366,AAPL→HD
HD,AAPL,5,0.5574711749204122,HD→AAPL
AAPL,PG,5,-0.1276277480114758,AAPL→PG
LLY,AAPL,5,0.239494636809792,LLY→AAPL
AAPL,AVGO,5,0.3838932254614007,AAPL→AVGO
AVGO,AAPL,5,0.26294049398780095,AVGO→AAPL
AAPL,XOM,5,0.30275869948003303,AAPL→XOM
XOM,AAPL,5,0.25414672247559206,XOM→AAPL
AAPL,COST,5,-0.16598620313481335,AAPL→COST
COST,AAPL,5,-0.3101681247158612,COST→AAPL
AAPL,PEP,5,0.5387559926497091,AAPL→PEP
PEP,AAPL,5,0.614667571786333,PEP→AAPL
AAPL,KO,5,-0.5542165453351672,AAPL→KO
KO,AAPL,5,-0.5348225481986916,KO→AAPL
AAPL,PFE,5,0.4907354226196466,AAPL→PFE
PFE,AAPL,5,0.6238527062481577,PFE→AAPL
AAPL,MRK,5,0.44889548409574054,AAPL→MRK
MRK,AAPL,5,0.6200232360605504,MRK→AAPL
AAPL,ORCL,5,0.5068745871201524,AAPL→ORCL
