Leader,Follower,ShiftDays,Correlation,Direction
AAPL,MSFT,15,0.3732909714572005,AAPL→MSFT
MSFT,AAPL,15,-0.14096095689101548,MSFT→AAPL
AAPL,GOOGL,15,0.7342627632740325,AAPL→GOOGL
GOOGL,AAPL,15,0.47365721980241954,GOOGL→AAPL
AAPL,AMZN,15,0.5914262955374752,AAPL→AMZN
AMZN,AAPL,15,0.24857413377214677,AMZN→AAPL
AAPL,NVDA,15,0.5554434374115302,AAPL→NVDA
AAPL,META,15,0.34478875252999514,AAPL→META
AAPL,TSLA,15,0.6235804403740517,AAPL→TSLA
TSLA,AAPL,15,0.4796115939702326,TSLA→AAPL
AAPL,JPM,15,0.3653942410849964,AAPL→JPM
AAPL,UNH,15,0.13519987449514734,AAPL→UNH
UNH,AAPL,15,0.4905661645731524,UNH→AAPL
AAPL,V,15,-0.35021757685110805,AAPL→V
V,AAPL,15,-0.42236048990896585,V→AAPL
AAPL,HD,15,0.8608773238601478,AAPL→HD
HD,AAPL,15,0.39314115308430775,HD→AAPL
MA,AAPL,15,-0.25693460852255107,MA→AAPL
AAPL,LLY,15,-0.13091281491650747,AAPL→LLY
LLY,AAPL,15,0.23784052068384892,LLY→AAPL
AAPL,AVGO,15,0.37131350242475736,AAPL→AVGO
AAPL,XOM,15,0.3900879276800942,AAPL→XOM
XOM,AAPL,15,0.22383256342674002,XOM→AAPL
AAPL,COST,15,-0.24635786504050186,AAPL→COST
COST,AAPL,15,-0.43042438113853454,COST→AAPL
AAPL,PEP,15,0.5327593487780982,AAPL→PEP
PEP,AAPL,15,0.6364821184084823,PEP→AAPL
AAPL,KO,15,-0.5998854611194885,AAPL→KO
KO,AAPL,15,-0.5421276597276791,KO→AAPL
AAPL,PFE,15,0.4680993792731219,AAPL→PFE
PFE,AAPL,15,0.474605929167652,PFE→AAPL
AAPL,MRK,15,0.43233930986516406,AAPL→MRK
MRK,AAPL,15,0.6313353041156785,MRK→AAPL
AAPL,ORCL,15,0.56749577406169,AAPL→ORCL
AAPL,ABBV,15,0.16990788540959,AAPL→ABBV
ABBV,AAPL,15,0.23193416348137716,ABBV→AAPL
AAPL,DIS,15,0.3998922583471265,AAPL→DIS
AAPL,CVX,15,0.49337002965127924,AAPL→CVX
CVX,AAPL,15,0.4145334904904232,CVX→AAPL
AAPL,ADBE,15,0.2170547718429761,AAPL→ADBE
ADBE,AAPL,15,0.1753092075997773,ADBE→AAPL
AAPL,MCD,15,-0.3089122987292881,AAPL→MCD
MCD,AAPL,15,-0.3137125147590191,MCD→AAPL
ACN,AAPL,15,0.15850147775103585,ACN→AAPL
AAPL,DHR,15,0.40981093888884484,AAPL→DHR
DHR,AAPL,15,0.558288094623858,DHR→AAPL
AAPL,CSCO,15,0.16215945156006412,AAPL→CSCO
NFLX,AAPL,15,-0.5066765004966012,NFLX→AAPL
AAPL,CRM,15,0.2111814065797,AAPL→CRM
CRM,AAPL,15,0.31066506464087373,CRM→AAPL
LIN,AAPL,15,-0.39278136861807916,LIN→AAPL
AAPL,ABT,15,-0.2767348226940634,AAPL→ABT
ABT,AAPL,15,-0.3785369646268749,ABT→AAPL
AAPL,TXN,15,0.23311037183554215,AAPL→TXN
TXN,AAPL,15,-0.19675972650155954,TXN→AAPL
AAPL,NKE,15,0.619703107366157,AAPL→NKE
NKE,AAPL,15,0.34386386636226174,NKE→AAPL
AAPL,TMO,15,0.5403874060930356,AAPL→TMO
TMO,AAPL,15,0.8259250045691485,TMO→AAPL
AAPL,INTC,15,0.427867634666547,AAPL→INTC
INTC,AAPL,15,0.4122995428703844,INTC→AAPL
