Shift (days),Total Correlations,Mean Correlation,Max Correlation,Significant (>0.7),Very Strong (>0.85)
5,8347,0.13716117947023046,0.9655843916339703,982,237
15,8248,0.09761238920248759,0.9522278648535981,772,109
25,8119,0.052171865487672456,0.9343105397461529,616,62
