stock1,stock2,lag,A_causes_B,B_causes_A,p_AB,p_BA
AAPL,MSFT,1,True,False,0.015991233942585278,0.6673695045158206
AAPL,GOOGL,1,False,False,0.05308886465577834,0.9786948850082161
AAPL,AMZN,1,True,False,0.03079315171653497,0.5025349811388402
AAPL,NVDA,1,False,False,0.3936412687806151,0.8509836783093545
AAPL,META,1,True,False,0.02678250313992396,0.36054017222448154
AAPL,TSLA,1,False,False,0.8818807145160626,0.12449309844486266
AAPL,AVGO,1,False,False,0.15219096324125903,0.49749670006182267
AAPL,ORCL,1,False,False,0.8077538981841155,0.4017759477549161
AAPL,ADBE,1,False,False,0.45759950537019256,0.5202537722484786
AAPL,CRM,1,True,False,0.008562134467032703,0.32972895893214305
AAPL,NFLX,1,False,False,0.733992164421551,0.7427591091497754
AAPL,AMD,1,False,False,0.3259273506008672,0.20369240684317033
AAPL,INTC,1,False,False,0.053728137859304755,0.6049781946038396
AAPL,QCOM,1,False,False,0.4995025370735384,0.7014287095037796
AAPL,CSCO,1,False,True,0.28093638333955745,0.02208792263107432
AAPL,IBM,1,False,False,0.6151282262286508,0.09386113900347737
AAPL,INTU,1,False,False,0.4064225780650116,0.8813668526112514
AAPL,NOW,1,True,False,0.03924123889048839,0.3828057280763546
AAPL,ADI,1,False,False,0.3246696423615809,0.1100062693920964
AAPL,PLTR,1,False,False,0.1959487653399378,0.6589972484205674
AAPL,AI,1,False,False,0.739837323621445,0.797191929446579
AAPL,SNOW,1,False,False,0.2165187191790707,0.8594526384984319
AAPL,PATH,1,False,False,0.46605706764914234,0.7160674036773486
AAPL,DDOG,1,False,False,0.4879823545509635,0.2641118421197563
AAPL,NET,1,True,False,0.024883348054773973,0.32208686278631193
AAPL,CRWD,1,False,False,0.13976978184635083,0.9955572272994722
AAPL,ZS,1,False,False,0.9727734155890843,0.8090979331599111
AAPL,OKTA,1,False,False,0.520216747611532,0.533469663742502
AAPL,MDB,1,False,False,0.14562170941472619,0.5598409113915916
AAPL,PANW,1,False,False,0.23504421545993295,0.8399720870078027
AAPL,FTNT,1,False,False,0.14548255874935626,0.32041042410043774
AAPL,S,1,False,False,0.12714544922384802,0.7005370914027292
AAPL,DOCU,1,False,False,0.9455159987770732,0.7449986521223135
AAPL,TWLO,1,False,False,0.1705392463672183,0.5915187049937503
AAPL,U,1,False,False,0.5982659461638116,0.6662660528230151
AAPL,RBLX,1,False,False,0.9170590146509238,0.34134421169897755
AAPL,COIN,1,False,False,0.7202166249019593,0.28596674372475955
AAPL,PYPL,1,False,False,0.4461299572349685,0.9179063379077899
AAPL,ARM,1,False,False,0.6628982729191386,0.14973556505371266
AAPL,SMCI,1,False,True,0.5400000292275657,0.030287019357435788
AAPL,MRVL,1,True,False,0.031349084063724,0.875605469497652
AAPL,MU,1,False,False,0.19928313833231281,0.3419323625880707
AAPL,LRCX,1,False,False,0.15920153256949426,0.7469423886205914
AAPL,KLAC,1,False,False,0.12775815583375216,0.6374210976312096
AAPL,AMAT,1,False,False,0.10886939045473054,0.41472692728467475
AAPL,ASML,1,False,False,0.09519773298621707,0.6862250463706964
AAPL,TSM,1,False,False,0.5383551686349957,0.17481687570538249
AAPL,ITRI,1,False,False,0.715025218217668,0.09331032375445941
AAPL,NEE,1,True,False,0.0266561940371281,0.8288901726867967
AAPL,DUK,1,False,False,0.28359440133374736,0.5896542770842681
AAPL,SO,1,False,False,0.4749012879325889,0.792002473071983
AAPL,D,1,False,False,0.06796149559823061,0.8239772596238468
AAPL,AEP,1,False,False,0.44145646175053754,0.35974017939701664
AAPL,SRE,1,False,False,0.8580798216199377,0.9700775782417261
AAPL,EXC,1,False,False,0.7386258699582215,0.6508061094732804
AAPL,XEL,1,False,False,0.656293246829796,0.820194410868806
AAPL,ED,1,False,False,0.9749423383335052,0.7843157725399037
AAPL,PEG,1,False,False,0.6538135480176472,0.3558068550171166
AAPL,WEC,1,False,False,0.5869381445576574,0.8560706382068172
AAPL,ES,1,False,False,0.2653250685554595,0.888585431148434
AAPL,AWK,1,False,False,0.16570476690867367,0.9883180617066757
AAPL,DTE,1,False,False,0.9167988545855793,0.5126778721661034
