Leader,Follower,Shift,Correlation
MSFT,GS,5,0.8497819780043626
MSFT,GS,15,0.7402251709815855
GS,MSFT,5,0.9036655134247814
GS,MSFT,15,0.9063801866281748
GS,MSFT,25,0.9041998931128592
MSFT,RTX,5,0.8229626127957042
MSFT,RTX,15,0.7850457798581131
MSFT,RTX,25,0.7552987871239079
RTX,MSFT,5,0.8347791942717789
RTX,MSFT,15,0.8295591980302971
RTX,MSFT,25,0.8179327683167572
BLK,MSFT,5,0.9027535868524288
BLK,MSFT,15,0.8918097084907164
BLK,MSFT,25,0.8803517360693534
MSFT,GE,5,0.85592000800316
MSFT,GE,15,0.8198502204776643
MSFT,GE,25,0.7818204329788583
GE,MSFT,5,0.8583454969135424
GE,MSFT,15,0.8292276833321022
GE,MSFT,25,0.7848578824896483
ADI,MSFT,5,0.8106125183239515
ADI,MSFT,15,0.8070837896641139
ADI,MSFT,25,0.7839207544189886
MSFT,BKNG,5,0.8584561974342161
MSFT,BKNG,15,0.8678717225341052
MSFT,BKNG,25,0.7864947756574401
MSFT,C,5,0.8351720446236981
MSFT,C,15,0.7151200983311439
C,MSFT,5,0.8921556518383467
C,MSFT,15,0.9076916072600912
C,MSFT,25,0.9127035071800746
MSFT,LRCX,5,0.7975658955985102
MSFT,LRCX,15,0.7303548598835709
LRCX,MSFT,5,0.813277573589209
LRCX,MSFT,15,0.8136931482360846
LRCX,MSFT,25,0.8088694132184575
MSFT,MO,5,0.7493925196209332
MSFT,MO,15,0.7588783153719266
MSFT,MO,25,0.7788442489216401
MO,MSFT,5,0.7361788052103845
MO,MSFT,15,0.7158813977337766
MSFT,SCHW,5,0.8953752946300843
MSFT,SCHW,15,0.8507782562039252
MSFT,SCHW,25,0.7818571627427399
SCHW,MSFT,5,0.8872915391280833
SCHW,MSFT,15,0.8122577626594866
SCHW,MSFT,25,0.7353839628655512
AXP,MSFT,5,0.7741336714053088
AXP,MSFT,15,0.7631076292678122
AXP,MSFT,25,0.7532608059767403
CSX,MSFT,5,0.7038035591428548
CSX,MSFT,15,0.7544621197012614
CSX,MSFT,25,0.775339737862411
NSC,MSFT,5,0.8500491150431705
NSC,MSFT,15,0.8772941810437354
NSC,MSFT,25,0.8942258943425485
EMR,MSFT,5,0.8028002652398972
EMR,MSFT,15,0.7760284553632143
EMR,MSFT,25,0.7394113921390396
MSFT,COF,5,0.8204595867509733
MSFT,COF,15,0.7361757154451803
COF,MSFT,5,0.8606943895627687
COF,MSFT,15,0.8327130005633627
COF,MSFT,25,0.8199247456532853
GOOGL,NVDA,5,0.8127105686793281
GOOGL,NVDA,15,0.8579619840333675
GOOGL,NVDA,25,0.8821503727996546
GOOGL,JPM,5,0.7530040076195518
GOOGL,JPM,15,0.7595544837683385
GOOGL,JPM,25,0.7154557247711889
GOOGL,AVGO,5,0.8507014230815222
GOOGL,AVGO,15,0.8226430593364555
GOOGL,AVGO,25,0.7933693274967488
GOOGL,ORCL,5,0.850716714490843
GOOGL,ORCL,15,0.8492960484603568
GOOGL,ORCL,25,0.8766058120002027
ORCL,GOOGL,5,0.8294385234792991
