Leader,Follower,ShiftDays,Correlation,Direction
BKNG,AAPL,25,-0.6602279821476358,BKNG→AAPL
AAPL,GILD,25,-0.16645911272175748,AAPL→GILD
GILD,AAPL,25,-0.2687165434977792,GILD→AAPL
AAPL,C,25,0.46538105698728316,AAPL→C
C,AAPL,25,-0.1474762507533378,C→AAPL
AAPL,LRCX,25,0.45000261866032887,AAPL→LRCX
AAPL,ADP,25,-0.30570637665887906,AAPL→ADP
ADP,AAPL,25,-0.5288145027227911,ADP→AAPL
AAPL,REGN,25,0.25271350197860376,AAPL→REGN
REGN,AAPL,25,0.5757937904525132,REGN→AAPL
AAPL,MO,25,0.1747983692435338,AAPL→MO
MO,AAPL,25,-0.3322605519288871,MO→AAPL
AAPL,MDLZ,25,-0.3620724223267603,AAPL→MDLZ
MDLZ,AAPL,25,-0.5955485856780612,MDLZ→AAPL
AAPL,TMUS,25,-0.38763403953005865,AAPL→TMUS
AAPL,T,25,-0.1999042808595991,AAPL→T
T,AAPL,25,-0.5310727681467637,T→AAPL
AAPL,CB,25,-0.5334526167063869,AAPL→CB
CB,AAPL,25,-0.19916171932719526,CB→AAPL
AAPL,SCHW,25,0.2863699169139991,AAPL→SCHW
SCHW,AAPL,25,-0.4733224129971982,SCHW→AAPL
SO,AAPL,25,-0.32390189084377385,SO→AAPL
AAPL,PGR,25,-0.7767497514261021,AAPL→PGR
PGR,AAPL,25,-0.2255192624225958,PGR→AAPL
AAPL,AXP,25,0.5585731882710521,AAPL→AXP
ZTS,AAPL,25,0.1685574918285467,ZTS→AAPL
AAPL,CL,25,-0.45752582149788545,AAPL→CL
CL,AAPL,25,-0.20935320521456077,CL→AAPL
DUK,AAPL,25,-0.20361235530266925,DUK→AAPL
AAPL,EOG,25,0.40027107830998465,AAPL→EOG
EOG,AAPL,25,0.27371641176182365,EOG→AAPL
AAPL,USB,25,0.7521762006358496,AAPL→USB
AAPL,TGT,25,0.32484688899626674,AAPL→TGT
TGT,AAPL,25,0.4359322399100226,TGT→AAPL
AAPL,PNC,25,0.7702339060178612,AAPL→PNC
AAPL,MMC,25,-0.6813538637513207,AAPL→MMC
FIS,AAPL,25,-0.2833872343224065,FIS→AAPL
AAPL,BDX,25,0.15462365092500388,AAPL→BDX
BDX,AAPL,25,0.7447774413439413,BDX→AAPL
AAPL,CME,25,-0.35389043023659594,AAPL→CME
CME,AAPL,25,-0.6115473781106479,CME→AAPL
AAPL,ITW,25,0.6289484069741836,AAPL→ITW
AAPL,GM,25,0.8487291102047025,AAPL→GM
AAPL,CSX,25,0.6851788051192907,AAPL→CSX
AAPL,NSC,25,0.6921806027377705,AAPL→NSC
NSC,AAPL,25,-0.13491438850531867,NSC→AAPL
AAPL,AON,25,-0.18800630679463648,AAPL→AON
AON,AAPL,25,0.31676780219738854,AON→AAPL
AAPL,EMR,25,0.5601955285271332,AAPL→EMR
EMR,AAPL,25,-0.2887205205165278,EMR→AAPL
AAPL,COF,25,0.43042660394739307,AAPL→COF
COF,AAPL,25,-0.2681295868011003,COF→AAPL
AAPL,FDX,25,0.4148296180622202,AAPL→FDX
FDX,AAPL,25,0.5048353510793577,FDX→AAPL
MSFT,GOOGL,25,0.30213109306084934,MSFT→GOOGL
GOOGL,MSFT,25,0.8390295921401946,GOOGL→MSFT
MSFT,AMZN,25,0.13503634644566184,MSFT→AMZN
AMZN,MSFT,25,0.6232438806232327,AMZN→MSFT
MSFT,NVDA,25,0.6395852581152236,MSFT→NVDA
NVDA,MSFT,25,0.8829652936753849,NVDA→MSFT
MSFT,META,25,0.5175003527645761,MSFT→META
META,MSFT,25,0.8155836771863263,META→MSFT
TSLA,MSFT,25,0.44212409969411753,TSLA→MSFT
MSFT,JPM,25,0.6594253424240009,MSFT→JPM
JPM,MSFT,25,0.8469170389816946,JPM→MSFT
MSFT,UNH,25,-0.8079369991703325,MSFT→UNH
UNH,MSFT,25,-0.4803762360709232,UNH→MSFT
MSFT,V,25,0.4077049854460013,MSFT→V
HD,MSFT,25,0.5504023220371019,HD→MSFT
MSFT,PG,25,-0.6593306804745707,MSFT→PG
PG,MSFT,25,-0.6525774009319765,PG→MSFT
MSFT,MA,25,0.5453678067190999,MSFT→MA
MA,MSFT,25,0.5092478750246787,MA→MSFT
MSFT,LLY,25,-0.5786679632538921,MSFT→LLY
LLY,MSFT,25,-0.20142181138723075,LLY→MSFT
MSFT,AVGO,25,0.6744303692867296,MSFT→AVGO
AVGO,MSFT,25,0.8723016760908817,AVGO→MSFT
XOM,MSFT,25,0.5921056232162327,XOM→MSFT
COST,MSFT,25,-0.3494633285211617,COST→MSFT
MSFT,PEP,25,-0.47341339693814927,MSFT→PEP
PEP,MSFT,25,0.3489098194365229,PEP→MSFT
MSFT,KO,25,0.48251276322394887,MSFT→KO
MSFT,PFE,25,-0.3249612301376255,MSFT→PFE
PFE,MSFT,25,0.4932624596398495,PFE→MSFT
MSFT,MRK,25,-0.6505395134406344,MSFT→MRK
MSFT,ORCL,25,0.6401829546878909,MSFT→ORCL
ORCL,MSFT,25,0.9036227366708848,ORCL→MSFT
MSFT,ABBV,25,0.25093408889251295,MSFT→ABBV
ABBV,MSFT,25,0.660870366473294,ABBV→MSFT
MSFT,DIS,25,0.39270159435610175,MSFT→DIS
DIS,MSFT,25,0.5889235823621254,DIS→MSFT
CVX,MSFT,25,0.6558034010655839,CVX→MSFT
MSFT,ADBE,25,-0.5863883390991512,MSFT→ADBE
ADBE,MSFT,25,-0.49107702244135054,ADBE→MSFT
MSFT,MCD,25,0.3667881217065244,MSFT→MCD
MSFT,ACN,25,-0.7825059547569246,MSFT→ACN
ACN,MSFT,25,-0.6493116944573553,ACN→MSFT
MSFT,DHR,25,-0.5196624802580849,MSFT→DHR
MSFT,CSCO,25,0.6439157678329309,MSFT→CSCO
CSCO,MSFT,25,0.8024982001294545,CSCO→MSFT
MSFT,NFLX,25,0.802519396908776,MSFT→NFLX
NFLX,MSFT,25,0.5048548300933879,NFLX→MSFT
MSFT,CRM,25,-0.6922899871493361,MSFT→CRM
CRM,MSFT,25,-0.44625867575391875,CRM→MSFT
MSFT,LIN,25,0.5845953685840711,MSFT→LIN
LIN,MSFT,25,0.5079161931306733,LIN→MSFT
MSFT,ABT,25,0.42494755633497006,MSFT→ABT
ABT,MSFT,25,0.23749970270884913,ABT→MSFT
MSFT,TXN,25,0.25130968007499976,MSFT→TXN
TXN,MSFT,25,0.36935167070938457,TXN→MSFT
MSFT,NKE,25,-0.20054832940982437,MSFT→NKE
NKE,MSFT,25,0.5340744078889587,NKE→MSFT
MSFT,TMO,25,-0.7273320330591857,MSFT→TMO
TMO,MSFT,25,0.24754605387757958,TMO→MSFT
MSFT,INTC,25,0.15589795458243863,MSFT→INTC
INTC,MSFT,25,0.5987989897988116,INTC→MSFT
MSFT,WMT,25,0.44654839785098055,MSFT→WMT
WMT,MSFT,25,0.5983005715486097,WMT→MSFT
MSFT,UPS,25,-0.7403714528619408,MSFT→UPS
UPS,MSFT,25,-0.49071951244964673,UPS→MSFT
MSFT,HON,25,0.34376044497297426,MSFT→HON
HON,MSFT,25,0.13741212941445705,HON→MSFT
MSFT,NEE,25,0.2376567284576856,MSFT→NEE
NEE,MSFT,25,0.6268665308457706,NEE→MSFT
MSFT,PM,25,0.7195978993623069,MSFT→PM
PM,MSFT,25,0.17357309817262434,PM→MSFT
AMGN,MSFT,25,0.2412159747829531,AMGN→MSFT
MSFT,AMD,25,0.5691445759095937,MSFT→AMD
AMD,MSFT,25,0.8185330424884313,AMD→MSFT
MSFT,QCOM,25,-0.19167688541117137,MSFT→QCOM
QCOM,MSFT,25,0.559145531811588,QCOM→MSFT
MSFT,LOW,25,-0.2096603546661507,MSFT→LOW
LOW,MSFT,25,0.4973653755645823,LOW→MSFT
MSFT,CAT,25,0.4568882455674137,MSFT→CAT
CAT,MSFT,25,0.8598507575553596,CAT→MSFT
MSFT,IBM,25,0.514011010737593,MSFT→IBM
IBM,MSFT,25,0.4086479880032759,IBM→MSFT
MSFT,MS,25,0.51586245752169,MSFT→MS
MS,MSFT,25,0.8726379454464134,MS→MSFT
MSFT,AMT,25,0.541588353305368,MSFT→AMT
AMT,MSFT,25,-0.17336328982739121,AMT→MSFT
MSFT,INTU,25,0.7729171224955801,MSFT→INTU
INTU,MSFT,25,0.3751275167382827,INTU→MSFT
